x y theta v w
0.598472 4.74492 2.36425 0.22478 0.225144
0.582331 4.76045 2.38685 0.223187 0.226861
0.565956 4.7755 2.40962 0.221651 0.228512
0.549355 4.79008 2.43255 0.220171 0.230096
0.532535 4.80418 2.45564 0.218748 0.231613
0.515501 4.81779 2.47887 0.217382 0.233062
0.498262 4.83092 2.50225 0.216071 0.234444
0.480823 4.84358 2.52576 0.214815 0.235759
0.463191 4.85574 2.5494 0.213615 0.237007
0.445375 4.86742 2.57316 0.212469 0.238187
0.42738 4.87862 2.59703 0.211377 0.239303
0.409214 4.88932 2.62102 0.210338 0.240353
0.390885 4.89954 2.6451 0.209353 0.24134
0.372399 4.90927 2.66929 0.20842 0.242264
0.353764 4.9185 2.69356 0.207539 0.243127
0.334988 4.92725 2.71791 0.206709 0.24393
0.316078 4.9355 2.74234 0.20593 0.244675
0.297041 4.94326 2.76684 0.205201 0.245364
0.277886 4.95052 2.79141 0.204522 0.245998
0.258619 4.95729 2.81604 0.203892 0.246579
0.239249 4.96356 2.84073 0.203311 0.247109
0.219784 4.96934 2.86546 0.202778 0.24759
0.20023 4.97462 2.89025 0.202293 0.248022
0.180596 4.9794 2.91507 0.201855 0.248408
0.16089 4.98369 2.93993 0.201464 0.24875
0.14112 4.98747 2.96482 0.20112 0.249048
0.121293 4.99076 2.98974 0.200821 0.249304
0.101418 4.99355 3.01468 0.200569 0.249519
0.0815021 4.99584 3.03964 0.200362 0.249694
0.0615537 4.99763 3.06462 0.2002 0.24983
0.0415806 4.99892 3.0896 0.200084 0.249927
0.0215909 4.99971 3.1146 0.200013 0.249986
0.00159261 5 3.1396 0.199987 0.250008
-0.0184064 4.99979 3.1646 0.200006 0.249992
-0.038398 4.99908 3.1896 0.20007 0.249939
-0.0583742 4.99787 3.21459 0.200179 0.249848
-0.0783271 4.99616 3.23957 0.200333 0.249718
-0.0982486 4.99395 3.26453 0.200533 0.249549
-0.118131 4.99124 3.28948 0.200778 0.249341
-0.137966 4.98803 3.3144 0.201069 0.249091
-0.157746 4.98433 3.3393 0.201406 0.2488
-0.177462 4.98012 3.36416 0.20179 0.248466
-0.197108 4.97542 3.38899 0.20222 0.248087
-0.216675 4.97022 3.41378 0.202698 0.247662
-0.236155 4.96452 3.43852 0.203223 0.247189
-0.255541 4.95832 3.46321 0.203797 0.246667
-0.274825 4.95163 3.48785 0.204419 0.246094
-0.293998 4.94445 3.51243 0.20509 0.245469
-0.313054 4.93677 3.53695 0.20581 0.244789
-0.331985 4.9286 3.56139 0.206581 0.244052
-0.350783 4.91993 3.58576 0.207403 0.243258
-0.369441 4.91077 3.61004 0.208276 0.242405
-0.387951 4.90112 3.63424 0.209201 0.241491
-0.406306 4.89098 3.65834 0.210178 0.240514
-0.424498 4.88035 3.68234 0.211208 0.239474
-0.44252 4.86924 3.70623 0.212291 0.238369
-0.460366 4.85763 3.73001 0.213428 0.237199
-0.478027 4.84555 3.75367 0.21462 0.235962
-0.495497 4.83297 3.7772 0.215867 0.234658
-0.512769 4.81991 3.8006 0.217169 0.233287
-0.529836 4.80638 3.82386 0.218527 0.231848
-0.546691 4.79236 3.84697 0.219941 0.230342
-0.563327 4.77786 3.86993 0.221411 0.228768
-0.579738 4.76288 3.89272 0.222938 0.227128
-0.595917 4.74743 3.91535 0.224522 0.225422
-0.611858 4.7315 3.93781 0.226164 0.223651
-0.627554 4.7151 3.96008 0.227862 0.221816
-0.642999 4.69823 3.98217 0.229618 0.219918
-0.658187 4.68089 4.00406 0.231432 0.21796
-0.673111 4.66308 4.02576 0.233303 0.215943
-0.687766 4.6448 4.04725 0.235231 0.213869
